Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
wine,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,15.0,3.0,0.0,83.33333333333333,16.666666666666668,0.0,0.7440758293838863,0.11724608043626444,0.3303655506152255,26.666666666666668,70.39913283735731,28.294048978792915,22.313353604440152,5.980695374352763,1.5718916099329396,1.2396307558022306,0.33226085413070905,21.306721786733046,1.1837067659296137,1359.77349654701,1.0,6.0,0.08333333333333333,1.0,0.9166666666666666,11.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.9583333333333334,0.8333333333333334,0.09848484848484848,0.9015151515151515,0.16666666666666666,0.8551587301587301,0.8333333333333334,0.8271367521367521,0.8674242424242424,0.002,0.013,0.0,0.01,26951.0,24997.0,4975.0,?
wine,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,18.0,0.0,0.0,100.0,0.0,0.0,1.0,0.008179959100204474,0.008676156824374783,1.8604651162790646,1.8488426400980655,28.294048978792915,0.3206029700962885,27.973446008696627,1.5718916099329396,0.017811276116460474,1.5540803338164793,27.973446008696623,1.554080333816479,1785.237112984648,1.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.001,0.0,0.0,26951.0,24997.0,4975.0,?
wine,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,17.0,1.0,0.0,94.44444444444444,5.555555555555555,0.0,0.9154929577464789,0.04453533287889116,0.190868146834216,10.129198966408271,40.67298178753547,28.294048978792915,7.6515198482109055,20.64252913058201,1.5718916099329396,0.42508443601171697,1.1468071739212227,25.825750954637776,1.434763941924321,1648.1733805904541,0.8333333333333334,5.0,0.0,0.0,1.0,12.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9444444444444444,0.03535353535353535,0.9646464646464646,0.05555555555555555,0.9513888888888888,0.9444444444444444,0.9437710437710438,0.9545454545454545,0.001,0.002,0.0,0.0,26951.0,24997.0,4975.0,?
wine,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,17.0,1.0,0.0,94.44444444444444,5.555555555555555,0.0,0.9162790697674418,0.04453533287889115,0.19086814683421596,10.129198966408271,40.67298178753546,28.294048978792915,7.6515198482109055,20.64252913058201,1.5718916099329396,0.42508443601171697,1.1468071739212227,25.939756784841045,1.4410975991578359,1655.4491176988615,1.0,6.0,0.08333333333333333,1.0,0.9166666666666666,11.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.9583333333333334,0.9444444444444444,0.027777777777777776,0.9722222222222222,0.05555555555555555,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9583333333333334,0.001,0.001,0.0,0.0,26951.0,24997.0,4975.0,?
wine,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,16.0,2.0,0.0,88.88888888888889,11.11111111111111,0.0,0.8341013824884792,0.0808907066575778,0.2697888493889517,18.397932816537473,57.490561624239994,28.294048978792915,14.982436726325524,13.311612252467391,1.5718916099329396,0.8323575959069736,0.7395340140259662,23.906067560985466,1.3281148644991925,1525.661122413075,1.0,6.0,0.08333333333333333,1.0,0.9166666666666666,11.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.9583333333333334,0.8888888888888888,0.049145299145299144,0.9508547008547009,0.1111111111111111,0.9060846560846562,0.8888888888888888,0.8842916342916343,0.9198717948717948,0.001,0.002,0.0,0.0,26951.0,24997.0,4975.0,?
wine,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,18.0,0.0,0.0,100.0,0.0,0.0,1.0,0.008179959100204474,0.008676156824374783,1.8604651162790646,1.8488426400980655,28.294048978792915,0.3206029700962885,27.973446008696627,1.5718916099329396,0.017811276116460474,1.5540803338164793,27.973446008696623,1.554080333816479,1785.237112984648,1.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,26951.0,24997.0,4975.0,?
wine,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,17.0,1.0,0.0,94.44444444444444,5.555555555555555,0.0,0.9162790697674418,0.04453533287889114,0.1908681468342159,10.129198966408268,40.67298178753545,28.294048978792915,7.651519848210906,20.64252913058201,1.5718916099329396,0.425084436011717,1.1468071739212227,25.939756784841045,1.4410975991578359,1655.4491176988615,1.0,6.0,0.08333333333333333,1.0,0.9166666666666666,11.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.9583333333333334,0.9444444444444444,0.027777777777777776,0.9722222222222222,0.05555555555555555,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9583333333333334,0.0,0.001,0.0,0.01,26951.0,24997.0,4975.0,?
wine,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,160.0,18.0,17.0,1.0,0.0,94.44444444444444,5.555555555555555,0.0,0.9154929577464789,0.04453533287889114,0.1908681468342159,10.17125064867669,40.86537469416131,28.07315011534962,7.651519848210906,20.421630267138713,1.5596194508527566,0.425084436011717,1.1345350148410396,25.711136884333694,1.428396493574094,1639.298864968744,1.0,5.0,0.07692307692307693,1.0,0.9230769230769231,12.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.9615384615384616,0.9444444444444444,0.021367521367521368,0.9786324786324787,0.05555555555555555,0.9537037037037037,0.9444444444444444,0.9451178451178451,0.9615384615384615,0.0,0.001,0.0,0.0,26951.0,24997.0,4975.0,?
wine,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,161.0,17.0,17.0,0.0,0.0,100.0,0.0,0.0,1.0,0.00813008130081301,0.008623253429104243,1.8589393110989618,1.848529829957944,26.425071989008735,0.30093402946880277,26.124137959539933,1.554415999353455,0.017702001733458986,1.5367139976199962,26.124137959539937,1.5367139976199962,1665.2040414787123,1.0,6.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001,0.0,0.0,27092.0,25138.0,4834.0,?
wine,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170417173400003E7,161.0,17.0,17.0,0.0,0.0,100.0,0.0,0.0,1.0,0.00813008130081301,0.008623253429104243,1.8589393110989618,1.848529829957944,26.425071989008735,0.30093402946880277,26.124137959539933,1.554415999353455,0.017702001733458986,1.5367139976199962,26.124137959539937,1.5367139976199962,1665.2040414787123,1.0,6.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.001,0.0,0.0,27092.0,25138.0,4834.0,?
